WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,誘引物が原因の出没,誘引物と考えられるもの
POINT (136.738444 36.52915),529,目撃,R5,R5.11.4,8時55分頃,金沢市,湯谷原町,田んぼ近くで約１．５メートルほどのクマ1頭を目撃,1,湯谷原,1.72E+09,5.44E+08,36.52915,136.738444,1,魚、エサ
POINT (136.738495 36.529726),554,目撃,R5,R5.11.23,16時05分頃,金沢市,湯谷原町,親子クマとみられる2頭を目撃,2,湯谷原,1.72E+09,5.44E+08,36.529726,136.738495,1,魚、エサ
POINT (136.686609 36.531241),620,目撃,R2,R2.6.3,10時00分頃,金沢市,金沢市大桑町地内,クマ1頭（0.6ｍ程度）を道路付近で目撃,1,大桑,1.72E+09,5.44E+08,36.531241,136.686609,1,果樹園
POINT (136.687395 36.529568),623,目撃,R2,R2.6.3,13時40分頃,金沢市,金沢市大桑町地内,クマ1頭（大きさ不明）を道路付近で目撃,1,大桑,1.72E+09,5.44E+08,36.529568,136.687395,1,果樹園
POINT (136.6895825 36.5320664),625,目撃,R2,R2.6.3,14時50分頃,金沢市,金沢市土清水3丁目地内,クマ1頭（0.6ｍ程度）を土清水バス停付近で目撃,1,土清水町,1.72E+09,5.44E+08,36.5320664,136.6895825,1,果樹園
POINT (136.76418 36.78848),689,目撃,R2,R2.6.28,14時00分頃,宝達志水町,宝達志水町坪山地内,スモモの木に登っているクマ１頭を目撃,1,坪山,1.74E+09,5.54E+08,36.78848,136.76418,1,スモモ
POINT (136.43346 36.33653),722,目撃,R2,R2.7.19,16時30分頃,小松市,小松市林町,国道８号線粟津インターチェンジ付近でクマ成獣1頭を目撃;パトロール（市職員2名、捕獲隊1名、警察1名）;周辺を確認し痕跡なし,1,林町,1.72E+09,5.44E+08,36.33653,136.43346,1,果樹園
POINT (136.43359 36.3366),725,目撃,R2,R2.7.19,19時40分頃,小松市,小松市林町,国道８号線粟津インターチェンジ付近でクマ幼獣1頭を目撃;翌朝パトロール（市職員1名、捕獲隊1名）;周辺を確認し痕跡なし,1,林町,1.72E+09,5.44E+08,36.3366,136.43359,1,果樹園
POINT (136.43296 36.33831),748,目撃,R2,R2.8.3,5時30分頃,小松市,小松市林町,国道8号線付近で成獣1頭を目撃;パトロール（市職員2名、捕獲隊1名、警察2名）;周辺を確認し痕跡なし,1,林町,1.72E+09,5.44E+08,36.33831,136.43296,1,果樹園
POINT (136.43036 36.33631),754,目撃,R2,R2.8.7,12時30分頃,小松市,小松市林町,国道8号線二ツ梨インターチェンジ付近で幼獣1頭を目撃;パトロール（市職員2名、捕獲隊1名、警察2名）;周辺を確認し痕跡不明,1,林町,1.72E+09,5.44E+08,36.33631,136.43036,1,果樹園
