WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,誘引物が原因の出没,誘引物と考えられるもの
POINT (136.63964 36.33003),2401,痕跡,R1,2019/10/11,,白山市,白山市西佐良町地内,西佐良町地内（柿の木）でクマの痕跡,,西佐良,1.72E+09,5.44E+08,36.33003,136.63964,1,カキ
POINT (136.60242 36.35578),2402,痕跡,R1,2019/10/14,,白山市,白山市別宮出町地内,別宮出町地内（柿の木）でクマの痕跡,,別宮出,1.72E+09,5.44E+08,36.35578,136.60242,1,カキ
POINT (136.63993 36.32256),2403,痕跡,R1,2019/10/15,,白山市,白山市三ツ屋野町地内,三ツ屋野町地内（クリの木）でクマの痕跡（糞）あり,,三ツ屋野,1.72E+09,5.44E+08,36.32256,136.63993,1,クリ
POINT (136.79001 36.69295),2405,痕跡,R1,2019/10/16,,津幡町,津幡町鳥屋尾地内,人家裏の畑で柿の木被害,,鳥屋尾,1.74E+09,5.54E+08,36.69295,136.79001,1,カキ
POINT (136.7028 36.50805),2406,痕跡,R1,2019/10/19,,金沢市,金沢市辰巳町地内,県道付近の畑で柿の木被害、糞を発見,,辰己,1.72E+09,5.44E+08,36.50805,136.7028,1,カキ
POINT (136.68487 36.60356),2407,痕跡,R1,2019/10/22,,金沢市,金沢市法光寺町地内,住宅裏の果樹被害,,法光寺町,1.72E+09,5.44E+08,36.60356,136.68487,1,果樹
POINT (136.6994 36.50909),2408,痕跡,R1,2019/10/22,,金沢市,金沢市辰巳町地内,集落内で柿の木被害,,辰己,1.72E+09,5.44E+08,36.50909,136.6994,1,カキ
POINT (136.69706 36.50993),2409,痕跡,R1,2019/10/22,,金沢市,金沢市辰巳町地内,犀川沿い水淵町方面の道路付近で柿の木被害、糞を発見,,辰己,1.72E+09,5.44E+08,36.50993,136.69706,1,カキ
POINT (136.69916 36.50946),2410,痕跡,R1,2019/10/23,,金沢市,金沢市辰巳町地内,犀川沿いの林内で柿の木被害,,辰己,1.72E+09,5.44E+08,36.50946,136.69916,1,カキ
POINT (136.5892536 36.490671),1974,目撃,R5,R5.12.16,7時00分頃,白山市,行町地内,ごみ集積所に業者が回収時に目撃,1頭,行町,1.72E+09,5.44E+08,36.490671,136.5892536,1,生ゴミ
POINT (137.257336 37.351052),43,目撃,R6,R6.5.28,17時30分頃,能登町,能登町字布浦地内,通称赤崎いちご園の町道で１ｍ程のクマを目撃,1頭,比那,1.75E+09,5.64E+08,37.351052,137.257336,1,
POINT (136.6992222 36.517421),136,目撃,R6,R6.6.29,13時20分頃,金沢市,上辰巳町地内,クマ１頭を目撃,1頭,上中,1.72E+09,5.44E+08,36.517421,136.6992222,1,
POINT (136.496497 36.253511),205,目撃,R6,R6.7.24,10時45分,小松市,大杉町,県道沿いの納屋付近を移動,1頭,大杉本町,1.72E+09,5.44E+08,36.253511,136.496497,1,
POINT (136.54261 36.478369),249,目撃,R6,R6.9.18,12時00分頃,川北町,土室地内,ぶどう園へ逃げ込む子グマ１頭（��246）を目撃,1頭,下土室,1.73E+09,5.44E+08,36.478369,136.54261,1,
POINT (136.6238083 36.3961684),253,目撃,R6,R6.9.24,11時45分頃,白山市,河内町福岡地内,河内町福岡（下福岡）でクマ１頭の目撃,1頭,福岡,1.72E+09,5.44E+08,36.3961684,136.6238083,1,
POINT (136.6338419 36.4024597),257,目撃,R6,R6.9.27,6時30分頃,白山市,河内町口直海地内,河内町口直海地内（口直海乙71付近）で子グマ1頭目撃,1頭,口直海,1.72E+09,5.44E+08,36.4024597,136.6338419,1,
POINT (136.687666 36.5265305),270,目撃,R6,R6.10.3,6時30分,金沢市,大桑町,クマを目撃,-,大道割,1.72E+09,5.44E+08,36.5265305,136.687666,1,
POINT (136.450411 36.330159),278,目撃,R6,R6.10.4,18時15分,小松市,西原町,近所の柿の木のクマを目撃,1頭,西原町,1.72E+09,5.44E+08,36.330159,136.450411,1,
POINT (136.514644 36.413801),279,目撃,R6,R6.10.4,20時40分,小松市,河田町,自動車販売店付近で目撃,1頭,河田谷内,1.72E+09,5.44E+08,36.413801,136.514644,1,
POINT (136.432735 36.336293),280,目撃,R6,R6.10.5,2時45分,小松市,林町,小松ドーム付近の雑木林を移動,1頭,林町,1.72E+09,5.44E+08,36.336293,136.432735,1,
POINT (136.450383 36.33103),285,目撃,R6,R6.10.6,6時00分,小松市,白山田町,ゴミ集積所付近で目撃,1頭,井口町,1.72E+09,5.44E+08,36.33103,136.450383,1,
POINT (136.449583 36.331064),289,目撃,R6,R6.10.6,12時15分,小松市,白山田町,製材所敷地を横断,1頭,井口町,1.72E+09,5.44E+08,36.331064,136.449583,1,
POINT (136.515217 36.41306),292,目撃,R6,R6.10.6,20時28分,小松市,河田町,桜生水付近雑木林を移動,2頭,河田谷内,1.72E+09,5.44E+08,36.41306,136.515217,1,
POINT (136.515319 36.413294),293,目撃,R6,R6.10.7,7時30分,小松市,国府台3丁目,桜生水付近市道を横断,1頭,河田谷内,1.72E+09,5.44E+08,36.413294,136.515319,1,
POINT (136.515421 36.412801),296,目撃,R6,R6.10.7,17時10分,小松市,国府台3丁目,桜生水付近市道を横断,1頭,河田谷内,1.72E+09,5.44E+08,36.412801,136.515421,1,
