WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,河川からの出没
POINT (136.389494 36.313245),1086,目撃,R2,R2.10.19,21時00分,加賀市,加賀市松山町,松山町集会場付近で1頭を目撃,1,松山,1.72E+09,5.44E+08,36.313245,136.389494,1
POINT (136.632022 36.438184),1101,目撃,R2,R2.10.21,13時10分頃,白山市,白山市白山町地内,白山町地内にある古宮児童公園の川沿いでクマ１頭を目撃,1,白山町,1.72E+09,5.44E+08,36.438184,136.632022,1
POINT (136.5676618 36.4214416),1103,目撃,R2,R2.10.21,14時47分,能美市,能美市鍋谷町地内,鍋谷町の八幡神社付近の川沿いで、柿の木に登る体長1ｍほどのクマ1頭を目撃。,1,中央鍋谷,1.72E+09,5.44E+08,36.4214416,136.5676618,1
POINT (136.355342 36.286254),1110,目撃,R2,R2.10.21,21時30分頃,加賀市,加賀市山代温泉桔梗が丘周辺,桔梗丘公園付近で1頭を目撃,1,山代温泉,1.72E+09,5.44E+08,36.286254,136.355342,1
POINT (136.3676654 36.2357531),1122,目撃,R2,R2.10.22,20時00分,加賀市,加賀市山中温泉菅谷町,山中温泉セレクトグランド加賀山中付近でクマ1頭を目撃,1,菅谷,1.72E+09,5.44E+08,36.2357531,136.3676654,1
POINT (136.468659 36.402678),1126,目撃,R2,R2.10.23,3時40分,小松市,小松市園町,国道３６０号糸町交差点付近にて、クマ成獣1頭を目撃;パトロール（捕獲隊1名）;周辺を確認し痕跡なし,1,園町,1.72E+09,5.44E+08,36.402678,136.468659,1
POINT (136.6413809 36.32032131),1127,目撃,R2,R2.10.23,6時00分頃,白山市,白山市三ツ屋野町地内,三ツ屋野町地内にある神社で幼獣１頭、柿の木で成獣１頭を目撃,2,三ツ屋野,1.72E+09,5.44E+08,36.32032131,136.6413809,1
POINT (136.450648 36.411484),1139,目撃,R2,R2.10.23,22時13分,小松市,小松市松任町,県道小松・根上線、松任町北交差点付近にて、クマ幼獣1頭を目撃;パトロール（市職員1人、捕獲隊1名、警察2台）;周辺を確認し痕跡あり,1,殿町,1.72E+09,5.44E+08,36.411484,136.450648,1
POINT (136.451742 36.408773),1145,目撃,R2,R2.10.24,12時30分,小松市,小松市新町,新町地内にて、JR北陸線方面へ移動するクマ幼獣1頭を目撃;パトロール（市職員、捕獲隊3名、警察）;周辺を確認し痕跡あり,1,殿町,1.72E+09,5.44E+08,36.408773,136.451742,1
POINT (136.6280329 36.44321196),1146,目撃,R2,R2.10.24,14時50分頃,白山市,白山市鶴来水戸町地内,鶴来水戸町地内でクマ１頭を目撃,1,大国町,1.72E+09,5.44E+08,36.44321196,136.6280329,1
POINT (136.5758894 36.4194664),1149,目撃,R2,R2.10.24,16時15分,能美市,能美市鍋谷町地内,鍋谷町の奥鍋谷バス停付近の柿の木にいる、体長1ｍほどのクマ1頭を目撃,1,上区鍋谷,1.72E+09,5.44E+08,36.4194664,136.5758894,1
